Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1345,Eadie,Jolicoeur,Sud-Ouest,297715.02,5035237.62,-73.5905895677363,45.4570320394953
1346,Hadley,Jacques-Hertel,Sud-Ouest,297551.7,5035519.5,-73.5926819532474,45.4595668584594
1347,Hadley,Jolicoeur,Sud-Ouest,297533.19,5035247.06,-73.5929146085943,45.4571151177957
1348,Hamilton,Jolicoeur,Sud-Ouest,297175.94,5035182.33,-73.5974814547973,45.4565288386084
1349,Jacques-Hertel,Monk,Sud-Ouest,297252.83,5035545.07,-73.5965039062092,45.4597937850818
1350,Jogues,Jolicoeur,Sud-Ouest,296809.75,5035091.66,-73.6021620902938,45.4557088538359
1351,Jolicoeur,Monk,Sud-Ouest,297337.29,5035224.43,-73.5954190707992,45.4569094170346
1352,Monk,Raudot,Sud-Ouest,297589.79,5034265.92,-73.5921765294941,45.4482869176049
1353,Monk,Springland,Sud-Ouest,297421.03,5034906.28,-73.5943435891033,45.4540474357844
1354,17 e Avenue,Crémazie inter. Sud,Villeray - Saint-Michel - Parc-Extension,296771.03,5047401.5,-73.602858726814,45.5664773114853
1355,17 e Avenue,Crémazie inter. Nord,Villeray - Saint-Michel - Parc-Extension,296730.47,5047426,-73.6033787424468,45.5666973011635
1356,17 e Avenue,Jarry,Villeray - Saint-Michel - Parc-Extension,296524.16,5047542.16,-73.606023741546,45.5677401228384
1357,Argenson,Centre,Sud-Ouest,299206.28,5037469.04,-73.5715475184231,45.4771249583025
1358,Centre,Charlevoix,Sud-Ouest,299377.18,5037617.55,-73.5693632313327,45.4784626683766
1359,Centre,Island,Sud-Ouest,299757.38,5037947.05,-73.5645034835913,45.4814305108215
1360,Centre,Laprairie,Sud-Ouest,299654.54,5037857.18,-73.5658180355069,45.4806210688844
1361,Centre,Shearer,Sud-Ouest,299947.25,5038110.87,-73.5620763513052,45.4829059838681
1362,Charlevoix,Grand Trunk,Sud-Ouest,299500.29,5037521.28,-73.5677874950667,45.4775973316423
1363,Charlevoix,Mullins,Sud-Ouest,299557.97,5037475.17,-73.5670492305397,45.477182847874
1364,Charlevoix,Wellington,Sud-Ouest,299985.89,5037138.39,-73.5615725373363,45.4741554252993
1365,1 ere Avenue,Rosemont,Rosemont - Petite-Patrie,298158.39,5045330.09,-73.5850572244366,45.5478526915913
1366,Congrégation,Wellington,Sud-Ouest,300234.18,5037931.55,-73.5584042790655,45.4812943159143
