,stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id,geometry
306,50209,50209,de l'Acadie / de l'Acadie,http://m.stm.info/fr/horaires/arrets/50209/bus,1,69,0,20S,POINT (288992.2205497217 5044827.109578819)
307,50210,50210,de l'Acadie / de l'Acadie,http://m.stm.info/fr/horaires/arrets/50210/bus,1,69,0,20S,POINT (288957.6174781736 5044823.640714077)
308,50211,50211,Dudemaine / Saint-Évariste,http://m.stm.info/fr/horaires/arrets/50211/bus,1,164,0,20S,POINT (289019.3356167499 5043096.274319935)
309,50212,50212,Dudemaine / Saint-Évariste,http://m.stm.info/fr/horaires/arrets/50212/bus,1,164,0,20S,POINT (289004.5618310015 5043061.082772652)
310,50213,50213,O'Brien / Dudemaine,http://m.stm.info/fr/horaires/arrets/50213/bus,1,117,0,20S,POINT (289131.5092195894 5043191.677442286)
311,50214,50214,Dudemaine / O'Brien,http://m.stm.info/fr/horaires/arrets/50214/bus,1,164,0,20S,POINT (289127.5099410028 5043216.692062053)
312,50215,50215,O'Brien / Dudemaine,http://m.stm.info/fr/horaires/arrets/50215/bus,1,117,0,20S,POINT (289102.7802814454 5043198.083787842)
313,50216,50216,Dudemaine / O'Brien,http://m.stm.info/fr/horaires/arrets/50216/bus,1,164,0,20S,POINT (289112.1933230596 5043182.724063832)
314,50217,50217,De Salaberry / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50217/bus,1,"180,365",0,20S,POINT (289183.1841153764 5044212.627150366)
315,50218,50218,De Salaberry / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50218/bus,1,"180,365",0,20S,POINT (289163.9381033566 5044167.777853698)
316,50219,50219,de l'Acadie / Viel,http://m.stm.info/fr/horaires/arrets/50219/bus,1,69,0,20S,POINT (289301.7789413931 5044671.529787788)
317,50220,50220,de l'Acadie / Viel,http://m.stm.info/fr/horaires/arrets/50220/bus,1,69,0,20S,POINT (289266.7069120472 5044668.171505711)
318,50221,50221,de l'Acadie / Viel,http://m.stm.info/fr/horaires/arrets/50221/bus,1,179,0,20S,POINT (289318.8865434455 5044642.037558206)
319,50222,50222,Dudemaine / Guertin,http://m.stm.info/fr/horaires/arrets/50222/bus,1,164,0,20S,POINT (289273.6692046676 5043379.914347973)
320,50223,50223,Dudemaine / Guertin,http://m.stm.info/fr/horaires/arrets/50223/bus,1,164,0,20S,POINT (289267.5178389276 5043356.147398413)
321,50224,50224,Valmont / Viel,http://m.stm.info/fr/horaires/arrets/50224/bus,1,179,0,20S,POINT (289348.1926371289 5044745.651333445)
322,50225,50225,De Salaberry / Taylor,http://m.stm.info/fr/horaires/arrets/50225/bus,1,"180,365",0,20S,POINT (289358.6249199249 5044383.891308047)
323,50226,50226,De Salaberry / Taylor,http://m.stm.info/fr/horaires/arrets/50226/bus,1,"180,365",0,20S,POINT (289341.8904584054 5044343.369418568)
324,50227,50227,Dudemaine / Élie-Blanchard,http://m.stm.info/fr/horaires/arrets/50227/bus,1,164,0,20S,POINT (289376.0753814367 5043477.346405214)
325,50228,50228,Dudemaine / Élie-Blanchard,http://m.stm.info/fr/horaires/arrets/50228/bus,1,164,0,20S,POINT (289413.6332861073 5043536.15394539)
326,50229,50229,de l'Acadie / De Salaberry,http://m.stm.info/fr/horaires/arrets/50229/bus,1,179,0,20S,POINT (289535.7007209157 5044557.045636158)
327,50230,50230,De Salaberry / de l'Acadie,http://m.stm.info/fr/horaires/arrets/50230/bus,1,69,0,20S,POINT (289524.2254283257 5044590.968812307)
328,50231,50231,de l'Acadie / De Salaberry,http://m.stm.info/fr/horaires/arrets/50231/bus,1,179,0,20S,POINT (289492.1183932582 5044554.70700571)
329,50232,50232,De Salaberry / Frigon,http://m.stm.info/fr/horaires/arrets/50232/bus,1,"180,365",0,20S,POINT (289486.9934299231 5044534.71578377)
330,50233,50233,de l'Acadie / De Salaberry,http://m.stm.info/fr/horaires/arrets/50233/bus,1,"179,365",0,20S,POINT (289591.4813717804 5044501.455260214)
331,50234,50234,De Salaberry / du Bois-de-Boulogne,http://m.stm.info/fr/horaires/arrets/50234/bus,1,69,0,20S,POINT (289630.7030620449 5044767.076567386)
332,50235,50235,De Salaberry / Desenclaves,http://m.stm.info/fr/horaires/arrets/50235/bus,1,69,0,20S,POINT (289598.7763608134 5044740.148855241)
333,50236,50236,Dudemaine / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50236/bus,1,164,0,20S,POINT (289631.8362631951 5043782.890418261)
334,50237,50237,Dudemaine / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50237/bus,1,164,0,20S,POINT (289621.5213164779 5043748.464541578)
335,50238,50238,De Salaberry / Poincaré,http://m.stm.info/fr/horaires/arrets/50238/bus,1,69,0,20S,POINT (289746.6849643734 5045066.297509043)
336,50239,50239,De Salaberry / Poincaré,http://m.stm.info/fr/horaires/arrets/50239/bus,1,69,0,20S,POINT (289743.530369552 5045020.852119748)
337,50240,50240,Dudemaine / James-Morrice,http://m.stm.info/fr/horaires/arrets/50240/bus,1,164,0,20S,POINT (289727.5356904478 5043889.568381727)
338,50241,50241,Dudemaine / James-Morrice,http://m.stm.info/fr/horaires/arrets/50241/bus,1,164,0,20S,POINT (289722.7035854033 5043861.352536332)
339,50242,50242,de l'Acadie / de Louisbourg,http://m.stm.info/fr/horaires/arrets/50242/bus,1,"179,180,365",0,20S,POINT (289817.5839038346 5044410.782897435)
340,50243,50243,de l'Acadie / de Louisbourg,http://m.stm.info/fr/horaires/arrets/50243/bus,1,"179,180,365",0,20S,POINT (289774.7669820486 5044402.32821837)
341,50244,50244,Dudemaine / Pasteur,http://m.stm.info/fr/horaires/arrets/50244/bus,1,164,0,20S,POINT (289910.6256647537 5044094.280147113)
342,50245,50245,Dudemaine / Pasteur,http://m.stm.info/fr/horaires/arrets/50245/bus,1,164,0,20S,POINT (289906.8124744113 5044067.173053307)
343,50246,50246,de l'Acadie / Dudemaine,http://m.stm.info/fr/horaires/arrets/50246/bus,1,"179,180,365",0,20S,POINT (290076.690164463 5044237.47022205)
344,50247,50247,Dudemaine / de l'Acadie,http://m.stm.info/fr/horaires/arrets/50247/bus,1,164,0,20S,POINT (290061.2072241516 5044262.400120077)
345,50248,50248,Dudemaine / de l'Acadie,http://m.stm.info/fr/horaires/arrets/50248/bus,1,164,0,20S,POINT (290039.6981034791 5044215.553110682)
346,50249,50249,de l'Acadie / Dudemaine,http://m.stm.info/fr/horaires/arrets/50249/bus,1,"179,180,365",0,20S,POINT (290082.6985749298 5044202.005078938)
